category_match_key,category_canonical,example_source_spellings
electronics,Electronics,Electronics / ELECTRONICS / electronics / trailing-space variant
consumerelectronics,Electronics,Consumer Electronics / consumer electronics
apparel,Apparel,Apparel / APPAREL / apparel / leading-space variant
clothingapparel,Apparel,Clothing & Apparel
homegarden,Home & Garden,Home & Garden / HOME & GARDEN / home_garden / Home&Garden
homeandgarden,Home & Garden,Home and Garden
sports,Sports,Sports / SPORTS
sportsoutdoors,Sports,Sports & Outdoors / sports-slash-outdoors
beauty,Beauty,Beauty / BEAUTY / beauty
beautypersonalcare,Beauty,Beauty & Personal Care
