anomaly_id,order_date,injected_multiplier,affected_cells,baseline_revenue_usd,actual_revenue_usd,delta_usd,delta_pct
ANOM-01,2025-03-14,1.95,12,30956.29,60364.75,29408.46,95.0
ANOM-01,2025-03-15,2.15,12,32516.67,69910.85,37394.18,115.0
ANOM-01,2025-03-16,2.05,12,31578.17,64735.26,33157.09,105.0
ANOM-01,2025-03-17,1.7,12,27447.7,46661.1,19213.4,70.0
ANOM-02,2025-06-09,0.72,3,12796.83,9213.720000000001,-3583.11,-28.0
ANOM-02,2025-06-10,0.48,3,11320.52,5433.860000000001,-5886.66,-52.0
ANOM-02,2025-06-11,0.38,3,13468.2,5117.92,-8350.28,-62.0
ANOM-02,2025-06-12,0.35,3,12514.69,4380.14,-8134.55,-65.0
ANOM-02,2025-06-13,0.35,3,12685.14,4439.8,-8245.34,-65.0
ANOM-02,2025-06-14,0.41,3,15401.11,6314.45,-9086.66,-59.0
ANOM-02,2025-06-15,0.66,3,14302.33,9439.55,-4862.78,-34.0
ANOM-03,2025-09-22,0.94,20,45724.12,42980.7,-2743.42,-6.0
ANOM-03,2025-09-23,0.89,20,44917.26,39976.37,-4940.89,-11.0
ANOM-03,2025-09-24,0.84,20,46412.96,38986.9,-7426.06,-16.0
ANOM-03,2025-09-25,0.8,20,49673.97,39739.19,-9934.78,-20.0
ANOM-03,2025-09-26,0.77,20,54387.76,41878.58,-12509.18,-23.0
ANOM-03,2025-09-27,0.74,20,59647.97,44139.5,-15508.47,-26.0
ANOM-03,2025-09-28,0.72,20,55982.06,40307.09,-15674.97,-28.0
ANOM-03,2025-09-29,0.7,20,46874.16,32811.93,-14062.23,-30.0
ANOM-03,2025-09-30,0.7,20,44012.89,30809.02,-13203.87,-30.0
ANOM-03,2025-10-01,0.71,20,45542.61,32335.27,-13207.34,-29.0
ANOM-03,2025-10-02,0.72,20,49140.22,35380.95,-13759.27,-28.0
ANOM-03,2025-10-03,0.74,20,55467.17,41045.68,-14421.49,-26.0
ANOM-03,2025-10-04,0.76,20,57138.37,43425.16,-13713.21,-24.0
ANOM-03,2025-10-05,0.79,20,55297.45,43685.01,-11612.44,-21.0
